benchmark,scaling_param_name,scaling_param_value,num_blocks,threads_per_block,num_accesses,metric_name,metric_mean,kernel_ms_mean,n_reps
fp32_throughput,fmas_per_thread,262144,1,1024,,GFLOPS,241.0229,3.969473,7
fp32_throughput,fmas_per_thread,524288,1,1024,,GFLOPS,306.4957,3.504817,7
fp32_throughput,fmas_per_thread,1048576,1,1024,,GFLOPS,328.9943,6.527639,7
fp32_throughput,fmas_per_thread,256,32,1,,GFLOPS,0.0343,0.49808,7
fp32_throughput,fmas_per_thread,512,32,1,,GFLOPS,0.0657,0.501407,7
fp32_throughput,fmas_per_thread,1024,32,1,,GFLOPS,0.1414,0.46878,7
fp32_throughput,fmas_per_thread,2048,32,1,,GFLOPS,0.2871,0.4562,7
fp32_throughput,fmas_per_thread,4096,32,1,,GFLOPS,0.51,0.517058,7
fp32_throughput,fmas_per_thread,8192,32,1,,GFLOPS,0.8257,0.638622,7
fp32_throughput,fmas_per_thread,16384,32,1,,GFLOPS,1.7629,0.600962,7
fp32_throughput,fmas_per_thread,32768,32,1,,GFLOPS,3.0229,0.697859,7
fp32_throughput,fmas_per_thread,65536,32,1,,GFLOPS,4.8743,0.865212,7
fp32_throughput,fmas_per_thread,131072,32,1,,GFLOPS,3.6686,2.295376,7
fp32_throughput,fmas_per_thread,262144,32,1,,GFLOPS,11.4357,1.687706,7
fp32_throughput,fmas_per_thread,524288,32,1,,GFLOPS,12.25,2.739637,7
fp32_throughput,fmas_per_thread,1048576,32,1,,GFLOPS,13.2914,5.050454,7
fp32_throughput,fmas_per_thread,256,32,32,,GFLOPS,1.0557,0.503039,7
fp32_throughput,fmas_per_thread,512,32,32,,GFLOPS,2.2071,0.477545,7
fp32_throughput,fmas_per_thread,1024,32,32,,GFLOPS,3.8986,0.550847,7
fp32_throughput,fmas_per_thread,2048,32,32,,GFLOPS,8.4643,0.500478,7
fp32_throughput,fmas_per_thread,4096,32,32,,GFLOPS,16.2514,0.521087,7
fp32_throughput,fmas_per_thread,8192,32,32,,GFLOPS,31.7043,0.53294,7
fp32_throughput,fmas_per_thread,16384,32,32,,GFLOPS,59.59,0.567575,7
fp32_throughput,fmas_per_thread,32768,32,32,,GFLOPS,101.1157,0.670716,7
fp32_throughput,fmas_per_thread,65536,32,32,,GFLOPS,156.5814,0.86272,7
fp32_throughput,fmas_per_thread,131072,32,32,,GFLOPS,158.6471,2.045213,7
fp32_throughput,fmas_per_thread,262144,32,32,,GFLOPS,214.33,7.077592,7
fp32_throughput,fmas_per_thread,524288,32,32,,GFLOPS,390.43,2.751198,7
fp32_throughput,fmas_per_thread,1048576,32,32,,GFLOPS,427.0286,5.029116,7
