suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,sim_time_ms_aligned,offset_ms,anchor_x,is_anchor,mape,smape
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,262144,12.589412,1.490255,4096,False,0.322337,0.322337
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,524288,13.330297,1.490255,4096,False,0.322337,0.322337
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,1048576,14.812066,1.490255,4096,False,0.322337,0.322337
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,2097152,17.907465,1.490255,4096,False,0.322337,0.322337
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,3145728,29.872944,1.490255,4096,False,0.322337,0.322337
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,1,0.008630,0.008258,1,True,0.440630,0.440664
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,8,0.008630,0.008258,1,False,0.440630,0.440664
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,64,0.008637,0.008258,1,False,0.440630,0.440664
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,512,0.009236,0.008258,1,False,0.440630,0.440664
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,4096,0.016060,0.008258,1,False,0.440630,0.440664
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,32768,0.070651,0.008258,1,False,0.440630,0.440664
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,100000,0.198661,0.008258,1,False,0.440630,0.440664
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,262144,0.507383,0.008258,1,False,0.440630,0.440664
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,500000,0.960261,0.008258,1,False,0.440630,0.440664
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,1,0.008634,0.008267,1,True,0.014466,0.014790
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,8,0.008634,0.008267,1,False,0.014466,0.014790
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,64,0.008637,0.008267,1,False,0.014466,0.014790
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,512,0.008664,0.008267,1,False,0.014466,0.014790
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,4096,0.010225,0.008267,1,False,0.014466,0.014790
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,32768,0.023873,0.008267,1,False,0.014466,0.014790
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,100000,0.055876,0.008267,1,False,0.014466,0.014790
