suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,time_ms_avg
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,15000,0.030322
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,20000,0.031966
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,30000,0.035254
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,50000,0.049353
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,75000,0.066926
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,100000,0.083122
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,150000,0.102954
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,200000,0.134813
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,300000,0.226355
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,500000,0.443488
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,750000,0.734843
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,1000000,1.028323
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,1500000,1.611071
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,2000000,2.186473
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,3000000,3.370017
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,5000000,5.710061
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,7500000,8.630274
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,10000000,11.531945
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,64,0.040425
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,128,0.040745
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,256,0.049753
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,384,0.067874
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,512,0.081719
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,640,0.105372
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,768,0.117347
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,1024,0.148751
