session_id,tier,suite,benchmark,non_scaling_params_json,scaling_param_name,scaling_param_value,time_ms_avg
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,10000,0.029842
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,15000,0.030322
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,20000,0.031966
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,30000,0.035254
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,50000,0.049353
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,75000,0.066926
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,100000,0.083122
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,150000,0.102954
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,200000,0.134813
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,300000,0.226355
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,500000,0.443488
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,750000,0.734843
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,1000000,1.028323
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,1500000,1.611071
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,2000000,2.186473
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,3000000,3.370017
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,5000000,5.710061
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,7500000,8.630274
2,2,altis,altis_cfd,"{""block_size"":256,""precision"":""half""}",size,10000000,11.531945
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,65536,0.072845
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,81920,0.073661
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,98304,0.073848
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,131072,0.072766
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,163840,0.073153
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,196608,0.073541
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,262144,0.073794
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,327680,0.073433
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,393216,0.073901
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,524288,0.074195
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,655360,0.074796
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,786432,0.076159
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,1048576,0.078418
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,1310720,0.081091
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,1572864,0.084097
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,2097152,0.094214
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,2621440,0.094748
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,3145728,0.101256
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,4194304,0.118548
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,5242880,0.117479
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,6291456,0.128011
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,8388608,0.133663
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,10485760,0.131552
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,12582912,0.139397
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,14680064,0.150247
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":128}",table_size,16777216,0.156342
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,65536,0.025431
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,81920,0.021381
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,98304,0.021917
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,131072,0.021703
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,163840,0.021743
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,196608,0.022196
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,262144,0.022037
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,327680,0.023240
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,393216,0.023894
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,524288,0.023333
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,655360,0.024068
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,786432,0.024295
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,1048576,0.026540
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,1310720,0.027596
