,benchmark,env,num_access,time
147,dram_read,gpu,128,5.2000000000000004e-05
148,dram_read,gpu,128,5.2799e-05
149,dram_read,gpu,128,5.216e-05
150,dram_read,gpu,128,5.2000000000000004e-05
151,dram_read,gpu,128,5.232e-05
152,dram_read,gpu,128,5.3280000000000005e-05
153,dram_read,gpu,128,5.2000000000000004e-05
154,dram_read,gpu,128,5.2000000000000004e-05
155,dram_read,gpu,128,5.28e-05
156,dram_read,gpu,128,5.2000000000000004e-05
157,dram_read,gpu,128,5.2000000000000004e-05
158,dram_read,gpu,128,5.232e-05
159,dram_read,gpu,128,5.2799e-05
160,dram_read,gpu,128,5.216e-05
161,dram_read,gpu,128,5.216e-05
162,dram_read,gpu,128,5.1840000000000005e-05
163,dram_read,gpu,128,5.28e-05
164,dram_read,gpu,128,5.2000000000000004e-05
165,dram_read,gpu,128,5.232e-05
166,dram_read,gpu,128,5.1999e-05
167,dram_read,gpu,128,5.28e-05
168,dram_read,gpu,128,5.2161000000000004e-05
169,dram_read,gpu,128,5.2000000000000004e-05
170,dram_read,gpu,128,5.2799e-05
171,dram_read,gpu,128,5.232e-05
172,dram_read,gpu,128,5.2001000000000006e-05
173,dram_read,gpu,128,5.216e-05
174,dram_read,gpu,128,5.2959000000000006e-05
175,dram_read,gpu,128,5.2000000000000004e-05
176,dram_read,gpu,128,5.2000000000000004e-05
177,dram_read,gpu,128,5.2000000000000004e-05
178,dram_read,gpu,128,5.296e-05
179,dram_read,gpu,128,5.216e-05
180,dram_read,gpu,128,5.2000000000000004e-05
181,dram_read,gpu,128,5.2000000000000004e-05
182,dram_read,gpu,128,5.28e-05
183,dram_read,gpu,128,5.215900000000001e-05
184,dram_read,gpu,128,5.216e-05
185,dram_read,gpu,128,5.2640000000000004e-05
186,dram_read,gpu,128,5.2000000000000004e-05
187,dram_read,gpu,128,5.1681e-05
188,dram_read,gpu,128,5.1999e-05
189,dram_read,gpu,128,5.296e-05
190,dram_read,gpu,128,5.216e-05
191,dram_read,gpu,128,5.1840000000000005e-05
192,dram_read,gpu,128,5.216e-05
193,dram_read,gpu,128,5.2959000000000006e-05
194,dram_read,gpu,128,5.2000000000000004e-05
195,dram_read,gpu,128,5.216e-05
196,dram_read,gpu,128,5.2000000000000004e-05
197,dram_read,gpu,128,5.296e-05
198,dram_read,gpu,128,5.232e-05
199,dram_read,gpu,128,5.216e-05
200,dram_read,gpu,256,0.00011152
201,dram_read,gpu,256,0.00011087900000000001
202,dram_read,gpu,256,0.00011104000000000001
203,dram_read,gpu,256,0.000111199
204,dram_read,gpu,256,0.00011311900000000001
205,dram_read,gpu,256,0.000111039
206,dram_read,gpu,256,0.0001112
207,dram_read,gpu,256,0.00011104000000000001
208,dram_read,gpu,256,0.00011328000000000001
209,dram_read,gpu,256,0.000111039
210,dram_read,gpu,256,0.00011072000000000001
211,dram_read,gpu,256,0.00011088000000000001
212,dram_read,gpu,256,0.000112639
213,dram_read,gpu,256,0.000111199
214,dram_read,gpu,256,0.000111039
215,dram_read,gpu,256,0.00011087900000000001
216,dram_read,gpu,256,0.000112799
