source,bucket,package,lines,path
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache/writeback,2,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/writeback/doc.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache/writeback,165,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/writeback/flusher.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache/writeback,95,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/writeback/mshrstage.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache/writeback,35,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/writeback/topparser.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache/writeback,58,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/writeback/transaction.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache/writeback,25,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/writeback/util.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache/writeback,100,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/writeback/writebackcache.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache/writeback,337,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/writeback/writebufferstage.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/idealmemcontroller,101,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/idealmemcontroller/builder.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/idealmemcontroller,42,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/idealmemcontroller/comp.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/idealmemcontroller,99,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/idealmemcontroller/ctrlmiddleware.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/idealmemcontroller,3,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/idealmemcontroller/doc.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/idealmemcontroller,165,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/idealmemcontroller/memMiddleware.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/mem,44,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/mem/addressconverter.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/mem,62,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/mem/addresstoportmapper.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/mem,2,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/mem/doc.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/mem,445,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/mem/protocol.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/mem,126,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/mem/storage.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/vm,156,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/vm/pagetable.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/vm,218,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/vm/protocol.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/vm,33,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/vm/tlbtracer.go
