run_id,suite,benchmark,platform,problem_size,kernel_name,iterations,avg_ms,min_ms,max_ms,stddev_ms
20260317-075319-odyssey,polybench,3mm,hip,384,3mm,10,0.1973,0.1955,0.1996,0.0011
20260317-075319-odyssey,polybench,3mm,hip,512,3mm,10,0.3740,0.3734,0.3765,0.0009
20260317-075319-odyssey,polybench,3mm,hip,640,3mm,10,0.4795,0.4732,0.4843,0.0041
20260317-075319-odyssey,polybench,3mm,hip,768,3mm,10,0.8779,0.8757,0.8832,0.0023
20260317-075319-odyssey,polybench,3mm,hip,896,3mm,10,1.3029,1.2940,1.3230,0.0086
20260317-075319-odyssey,polybench,3mm,hip,1024,3mm,10,2.2411,2.2360,2.2446,0.0026
20260317-075319-odyssey,polybench,3mm,hip,1280,3mm,10,3.8032,3.7928,3.8168,0.0079
20260317-075319-odyssey,polybench,3mm,hip,1536,3mm,10,6.5517,6.5365,6.5646,0.0085
20260317-075319-odyssey,polybench,3mm,hip,1792,3mm,10,9.3962,9.3616,9.4317,0.0234
20260317-075319-odyssey,polybench,3mm,hip,2048,3mm,10,13.8629,13.8026,13.9336,0.0417
20260317-075319-odyssey,polybench,3mm,hip,2560,3mm,10,28.9011,28.8066,29.0357,0.0779
20260317-075319-odyssey,polybench,3mm,hip,3072,3mm,10,46.3300,46.2852,46.3768,0.0366
20260317-075319-odyssey,polybench,3mm,hip,3584,3mm,10,78.0753,77.7303,78.7167,0.2846
20260317-075319-odyssey,polybench,3mm,hip,4096,3mm,10,123.9889,121.9857,138.5551,5.1252
20260317-075319-odyssey,polybench,atax,hip,64x64,atax,10,0.0293,0.0284,0.0302,0.0006
20260317-075319-odyssey,polybench,atax,hip,128x128,atax,10,0.0499,0.0479,0.0579,0.0030
20260317-075319-odyssey,polybench,atax,hip,192x192,atax,10,0.0743,0.0727,0.0766,0.0014
20260317-075319-odyssey,polybench,atax,hip,256x256,atax,10,0.1457,0.1405,0.1520,0.0038
20260317-075319-odyssey,polybench,atax,hip,384x384,atax,10,0.2173,0.2102,0.2241,0.0048
20260317-075319-odyssey,polybench,atax,hip,512x512,atax,10,0.2684,0.2604,0.2816,0.0058
20260317-075319-odyssey,polybench,atax,hip,640x640,atax,10,0.3589,0.3490,0.3709,0.0072
20260317-075319-odyssey,polybench,atax,hip,768x768,atax,10,0.4200,0.4096,0.4309,0.0072
20260317-075319-odyssey,polybench,atax,hip,896x896,atax,10,0.4981,0.4830,0.5147,0.0101
20260317-075319-odyssey,polybench,atax,hip,1024x1024,atax,10,0.5782,0.5671,0.5908,0.0072
20260317-075319-odyssey,polybench,atax,hip,1280x1280,atax,10,0.7120,0.7018,0.7261,0.0082
20260317-075319-odyssey,polybench,atax,hip,1536x1536,atax,10,0.9103,0.8763,0.9375,0.0227
20260317-075319-odyssey,polybench,atax,hip,1792x1792,atax,10,1.1219,1.0916,1.1507,0.0196
20260317-075319-odyssey,polybench,atax,hip,2048x2048,atax,10,1.3172,1.2944,1.3419,0.0138
20260317-075319-odyssey,polybench,atax,hip,2560x2560,atax,10,1.6551,1.6236,1.6717,0.0150
20260317-075319-odyssey,polybench,atax,hip,3072x3072,atax,10,2.0038,1.9687,2.0342,0.0210
20260317-075319-odyssey,polybench,atax,hip,3584x3584,atax,10,2.3247,2.3027,2.3480,0.0166
20260317-075319-odyssey,polybench,atax,hip,4096x4096,atax,10,2.6437,2.5834,2.6767,0.0318
20260317-075319-odyssey,polybench,bicg,hip,64x64,bicg,10,0.0245,0.0226,0.0263,0.0016
20260317-075319-odyssey,polybench,bicg,hip,128x128,bicg,10,0.0463,0.0450,0.0472,0.0007
20260317-075319-odyssey,polybench,bicg,hip,192x192,bicg,10,0.0664,0.0641,0.0675,0.0010
20260317-075319-odyssey,polybench,bicg,hip,256x256,bicg,10,0.1329,0.1274,0.1424,0.0057
20260317-075319-odyssey,polybench,bicg,hip,384x384,bicg,10,0.1989,0.1908,0.2118,0.0072
20260317-075319-odyssey,polybench,bicg,hip,512x512,bicg,10,0.2634,0.2478,0.2812,0.0131
20260317-075319-odyssey,polybench,bicg,hip,640x640,bicg,10,0.3304,0.3083,0.3455,0.0122
20260317-075319-odyssey,polybench,bicg,hip,768x768,bicg,10,0.4272,0.4169,0.4341,0.0056
20260317-075319-odyssey,polybench,bicg,hip,896x896,bicg,10,0.4789,0.4641,0.4921,0.0085
20260317-075319-odyssey,polybench,bicg,hip,1024x1024,bicg,10,0.5778,0.5704,0.5863,0.0049
20260317-075319-odyssey,polybench,bicg,hip,1280x1280,bicg,10,0.7074,0.6845,0.7250,0.0113
20260317-075319-odyssey,polybench,bicg,hip,1536x1536,bicg,10,0.9122,0.8855,0.9340,0.0175
20260317-075319-odyssey,polybench,bicg,hip,1792x1792,bicg,10,1.1148,1.1005,1.1298,0.0098
20260317-075319-odyssey,polybench,bicg,hip,2048x2048,bicg,10,1.3063,1.2774,1.3317,0.0166
20260317-075319-odyssey,polybench,bicg,hip,2560x2560,bicg,10,1.6643,1.6221,1.6828,0.0191
20260317-075319-odyssey,polybench,bicg,hip,3072x3072,bicg,10,2.0033,1.9907,2.0232,0.0115
20260317-075319-odyssey,polybench,bicg,hip,3584x3584,bicg,10,2.3234,2.2888,2.3572,0.0251
20260317-075319-odyssey,polybench,bicg,hip,4096x4096,bicg,10,2.6498,2.6261,2.6781,0.0184
20260317-075319-odyssey,polybench,correlation,hip,64x64,correlation,10,0.0541,0.0526,0.0594,0.0021
20260317-075319-odyssey,polybench,correlation,hip,128x128,correlation,10,0.1248,0.1158,0.1595,0.0135
20260317-075319-odyssey,polybench,correlation,hip,192x192,correlation,10,0.1830,0.1738,0.2176,0.0131
20260317-075319-odyssey,polybench,correlation,hip,256x256,correlation,10,0.2493,0.2401,0.2666,0.0088
20260317-075319-odyssey,polybench,correlation,hip,384x384,correlation,10,0.3990,0.3792,0.4220,0.0171
20260317-075319-odyssey,polybench,correlation,hip,512x512,correlation,10,0.5588,0.5428,0.5989,0.0157
20260317-075319-odyssey,polybench,correlation,hip,640x640,correlation,10,0.5284,0.5138,0.6208,0.0328
20260317-075319-odyssey,polybench,correlation,hip,768x768,correlation,10,0.6248,0.6202,0.6363,0.0049
20260317-075319-odyssey,polybench,correlation,hip,896x896,correlation,10,0.8590,0.8504,0.8681,0.0050
20260317-075319-odyssey,polybench,correlation,hip,1024x1024,correlation,10,1.0471,1.0372,1.0756,0.0114
20260317-075319-odyssey,polybench,correlation,hip,1280x1280,correlation,10,1.3862,1.3788,1.4137,0.0108
20260317-075319-odyssey,polybench,correlation,hip,1536x1536,correlation,10,2.0905,2.0801,2.1165,0.0107
20260317-075319-odyssey,polybench,correlation,hip,1792x1792,correlation,10,2.8676,2.8581,2.8992,0.0122
20260317-075319-odyssey,polybench,correlation,hip,2048x2048,correlation,10,4.0116,4.0012,4.0574,0.0176
20260317-075319-odyssey,polybench,correlation,hip,2560x2560,correlation,10,6.9770,6.9661,6.9953,0.0100
20260317-075319-odyssey,polybench,correlation,hip,3072x3072,correlation,10,10.6031,10.5886,10.6176,0.0098
20260317-075319-odyssey,polybench,correlation,hip,3584x3584,correlation,10,16.9467,16.8880,17.0300,0.0387
20260317-075319-odyssey,polybench,correlation,hip,4096x4096,correlation,10,25.0230,24.8984,25.1140,0.0703
20260317-075319-odyssey,polybench,covariance,hip,64x64,covariance,10,0.0442,0.0416,0.0522,0.0035
20260317-075319-odyssey,polybench,covariance,hip,128x128,covariance,10,0.1032,0.0970,0.1208,0.0081
20260317-075319-odyssey,polybench,covariance,hip,192x192,covariance,10,0.1535,0.1491,0.1598,0.0041
20260317-075319-odyssey,polybench,covariance,hip,256x256,covariance,10,0.2218,0.2052,0.3161,0.0341
20260317-075319-odyssey,polybench,covariance,hip,384x384,covariance,10,0.3496,0.3326,0.3714,0.0170
20260317-075319-odyssey,polybench,covariance,hip,512x512,covariance,10,0.4949,0.4787,0.5249,0.0136
20260317-075319-odyssey,polybench,covariance,hip,640x640,covariance,10,0.4411,0.4338,0.4722,0.0116
20260317-075319-odyssey,polybench,covariance,hip,768x768,covariance,10,0.5443,0.5234,0.6942,0.0528
20260317-075319-odyssey,polybench,covariance,hip,896x896,covariance,10,0.7469,0.7425,0.7595,0.0049
20260317-075319-odyssey,polybench,covariance,hip,1024x1024,covariance,10,0.9162,0.9075,0.9459,0.0115
20260317-075319-odyssey,polybench,covariance,hip,1280x1280,covariance,10,1.2222,1.2154,1.2521,0.0109
20260317-075319-odyssey,polybench,covariance,hip,1536x1536,covariance,10,1.8491,1.8374,1.8829,0.0129
20260317-075319-odyssey,polybench,covariance,hip,1792x1792,covariance,10,2.6087,2.5988,2.6421,0.0132
20260317-075319-odyssey,polybench,covariance,hip,2048x2048,covariance,10,3.5055,3.4983,3.5405,0.0128
20260317-075319-odyssey,polybench,covariance,hip,2560x2560,covariance,10,6.3312,6.3239,6.3488,0.0074
20260317-075319-odyssey,polybench,covariance,hip,3072x3072,covariance,10,9.8110,9.7867,9.8500,0.0223
20260317-075319-odyssey,polybench,covariance,hip,3584x3584,covariance,10,15.4755,15.4574,15.4939,0.0098
20260317-075319-odyssey,polybench,covariance,hip,4096x4096,covariance,10,22.9266,22.8920,22.9692,0.0300
20260317-075319-odyssey,polybench,fdtd2d,hip,64,fdtd2d,10,0.0736,0.0710,0.0789,0.0023
20260317-075319-odyssey,polybench,fdtd2d,hip,128,fdtd2d,10,0.0832,0.0740,0.1174,0.0130
20260317-075319-odyssey,polybench,fdtd2d,hip,192,fdtd2d,10,0.0790,0.0756,0.0970,0.0067
20260317-075319-odyssey,polybench,fdtd2d,hip,256,fdtd2d,10,0.0883,0.0818,0.1154,0.0111
20260317-075319-odyssey,polybench,fdtd2d,hip,384,fdtd2d,10,0.1086,0.1057,0.1276,0.0067
20260317-075319-odyssey,polybench,fdtd2d,hip,512,fdtd2d,10,0.1867,0.1753,0.2643,0.0274
20260317-075319-odyssey,polybench,fdtd2d,hip,640,fdtd2d,10,0.2700,0.2656,0.2726,0.0021
20260317-075319-odyssey,polybench,fdtd2d,hip,768,fdtd2d,10,0.3232,0.3156,0.3323,0.0047
20260317-075319-odyssey,polybench,fdtd2d,hip,896,fdtd2d,10,0.3835,0.3786,0.3864,0.0027
20260317-075319-odyssey,polybench,fdtd2d,hip,1024,fdtd2d,10,0.3885,0.3849,0.3912,0.0021
20260317-075319-odyssey,polybench,fdtd2d,hip,1280,fdtd2d,10,0.4915,0.4868,0.4954,0.0024
20260317-075319-odyssey,polybench,fdtd2d,hip,1536,fdtd2d,10,0.6776,0.6734,0.6817,0.0033
20260317-075319-odyssey,polybench,fdtd2d,hip,1792,fdtd2d,10,0.8151,0.8116,0.8209,0.0029
20260317-075319-odyssey,polybench,fdtd2d,hip,2048,fdtd2d,10,1.0317,1.0220,1.0387,0.0057
20260317-075319-odyssey,polybench,fdtd2d,hip,2560,fdtd2d,10,1.5254,1.5154,1.5495,0.0100
20260317-075319-odyssey,polybench,fdtd2d,hip,3072,fdtd2d,10,2.1133,2.1036,2.1323,0.0079
20260317-075319-odyssey,polybench,fdtd2d,hip,3584,fdtd2d,10,2.8167,2.8080,2.8223,0.0043
20260317-075319-odyssey,polybench,fdtd2d,hip,4096,fdtd2d,10,3.7154,3.6962,3.7351,0.0103
20260317-075319-odyssey,polybench,gemm,hip,64,gemm,10,0.0122,0.0120,0.0123,0.0001
20260317-075319-odyssey,polybench,gemm,hip,128,gemm,10,0.0201,0.0198,0.0203,0.0002
20260317-075319-odyssey,polybench,gemm,hip,192,gemm,10,0.0280,0.0277,0.0285,0.0002
20260317-075319-odyssey,polybench,gemm,hip,256,gemm,10,0.0363,0.0360,0.0381,0.0006
20260317-075319-odyssey,polybench,gemm,hip,384,gemm,10,0.0511,0.0510,0.0512,0.0001
20260317-075319-odyssey,polybench,gemm,hip,512,gemm,10,0.0745,0.0741,0.0754,0.0004
20260317-075319-odyssey,polybench,gemm,hip,640,gemm,10,0.1262,0.1230,0.1296,0.0022
20260317-075319-odyssey,polybench,gemm,hip,768,gemm,10,0.2531,0.2484,0.2606,0.0033
