,benchmark,arg,time
0,l1v_read,10000,0.010664578062
1,l1v_read,10000,0.01040708879
2,l1v_read,10000,0.010166875087
3,l1v_read,10000,0.010412377771
4,l1v_read,10000,0.010146007407
5,l1v_read,10000,0.010387929156
6,l1v_read,10000,0.010155741125
7,l1v_read,10000,0.010688991286
8,l1v_read,10000,0.010136032943
9,l1v_read,10000,0.010428993963
10,l1v_read,10000,0.010433804709
11,l1v_read,10000,0.010663513094
12,l1v_read,10000,0.010155799799
13,l1v_read,10000,0.010391476098
14,l1v_read,10000,0.010673234239
15,l1v_read,10000,0.010676558129
16,l1v_read,10000,0.010137788951
17,l1v_read,10000,0.010407208931
18,l1v_read,10000,0.010438739788
19,l1v_read,10000,0.010424126871
20,l1v_read,20000,0.010151546914
21,l1v_read,20000,0.010954231955
22,l1v_read,20000,0.010143809021
23,l1v_read,20000,0.010679164901
24,l1v_read,20000,0.010143394116
25,l1v_read,20000,0.010398827959
26,l1v_read,20000,0.010134479962
27,l1v_read,20000,0.010399121791
28,l1v_read,20000,0.010388208088
29,l1v_read,20000,0.010679770727
30,l1v_read,20000,0.010155226104
31,l1v_read,20000,0.010392042808
32,l1v_read,20000,0.010140245315
33,l1v_read,20000,0.010417917278
34,l1v_read,20000,0.010135511868
35,l1v_read,20000,0.010962138884
36,l1v_read,20000,0.010154075921
37,l1v_read,20000,0.010415293276
38,l1v_read,20000,0.010149346665
39,l1v_read,20000,0.01039115712
40,l1v_read,30000,0.01014537923
41,l1v_read,30000,0.010663161986
42,l1v_read,30000,0.010424414184
43,l1v_read,30000,0.010401658714
44,l1v_read,30000,0.010429661721
45,l1v_read,30000,0.010438482277
46,l1v_read,30000,0.010428380221
47,l1v_read,30000,0.010414738208
48,l1v_read,30000,0.010163106024
49,l1v_read,30000,0.010663473979
50,l1v_read,30000,0.010153914336
51,l1v_read,30000,0.010385863017
52,l1v_read,30000,0.010133703705
53,l1v_read,30000,0.010420931969
54,l1v_read,30000,0.010151616763
55,l1v_read,30000,0.010415495839
56,l1v_read,30000,0.010423029773
57,l1v_read,30000,0.010403492954
58,l1v_read,30000,0.010416643694
59,l1v_read,30000,0.010425153188
60,l1v_read,40000,0.010142980143
61,l1v_read,40000,0.010410067625
62,l1v_read,40000,0.010145128705
63,l1v_read,40000,0.010673464742
64,l1v_read,40000,0.010138675105
65,l1v_read,40000,0.010420475155
66,l1v_read,40000,0.010415824596
67,l1v_read,40000,0.010434570257
68,l1v_read,40000,0.010148986243
69,l1v_read,40000,0.010672517121
70,l1v_read,40000,0.01040932769
71,l1v_read,40000,0.01040706411
72,l1v_read,40000,0.010439729784
73,l1v_read,40000,0.010422006249
74,l1v_read,40000,0.010437666904
75,l1v_read,40000,0.01042261906
76,l1v_read,40000,0.010161757935
77,l1v_read,40000,0.010671070777
78,l1v_read,40000,0.010161230806
79,l1v_read,40000,0.010417759884
80,l1v_read,50000,0.010163118131
81,l1v_read,50000,0.010396460071
82,l1v_read,50000,0.010156375822
83,l1v_read,50000,0.010417386889
84,l1v_read,50000,0.010419344995
85,l1v_read,50000,0.010410962161
86,l1v_read,50000,0.01014467096
87,l1v_read,50000,0.010420309845
88,l1v_read,50000,0.010412433185
89,l1v_read,50000,0.010404556058
90,l1v_read,50000,0.010152025148
91,l1v_read,50000,0.010666312184
92,l1v_read,50000,0.010146768764
93,l1v_read,50000,0.010410012677
